year,United Kingdom,England & Wales,Scotland,Northern Ireland
2002/03,110.10,114.10,82.60,84
2003/04,109.90,114.30,81.70,74
2004/05,103.30,106.60,86.20,69
2005/06,100.90,104.50,81.80,71
2006/07,98.10,101.30,81.70,69
2007/08,88.80,91.80,74.60,62
2008/09,84,86.50,72.50,62
2009/10,76.90,79.10,64.60,61
2010/11,75.80,75.10,61.40,58
2011/12,69.60,78.60,59.30,57
2012/13,68.70,72.30,51.40,55
2013/14,68.70,71.20,50.80,56
2014/15,70.10,73.20,47.90,57
2015/16,74.70,78.70,45.80,58
2016/17,81,86,44.20,54
2017/18,88.80,94.70,45.10,54
2018/19,95,101.50,45.30,56
2019/20,96.40,102.80,45.10,59